,filename,cell_type,cell_type_dual,mesh_type,activation_time,cell_surface_area_um^2,mesh_density,equivalent_diameter_area_um^2_mean,equivalent_diameter_area_um^2_median,area_um^2_mean,area_um^2_median,perimeter_um_mean,perimeter_um_median
43716,3min_FOV3_decon.tif,CAR_antiCD19,CAR,Basal,3min,59.64597093960327,65.96859608191683,0.009291088435081076,0.0075804505992423,0.1553124885627047,0.0408639951998911,1.26338535031638,0.7197222417372222
43953,3min_FOV3_decon.tif,CAR_antiCD19,CAR,Cytosolic,3min,80.7660298641308,51.71956405803443,0.009291088435081076,0.0075804505992423,0.1553124885627047,0.0408639951998911,1.26338535031638,0.7197222417372222
44123,3min_FOV4_decon_bottom.tif,CAR_antiCD19,CAR,Basal,3min,27.401935875873903,71.4692020152771,0.008278107492968804,0.0072168282280803,0.08026216812809539,0.0367407721397626,1.0190675278160448,0.6835323966628517
44260,3min_FOV4_decon_bottom.tif,CAR_antiCD19,CAR,Cytosolic,3min,34.97832843378557,65.36270172199764,0.008278107492968804,0.0072168282280803,0.08026216812809539,0.0367407721397626,1.0190675278160448,0.6835323966628517
44400,3min_FOV4_decon_top_left.tif,CAR_dual,CAR,Basal,3min,49.820487021518176,67.72816662197194,0.008780320582214556,0.007325358050827,0.1375635743532946,0.0378541288712706,1.2734054793014224,0.697353460862399
44622,3min_FOV4_decon_top_left.tif,CAR_dual,CAR,Cytosolic,3min,72.25128509120904,50.13483319207951,0.008780320582214556,0.007325358050827,0.1375635743532946,0.0378541288712706,1.2734054793014224,0.697353460862399
44800,3min_FOV4_decon_top_right.tif,CAR_antiCD19,CAR,Basal,3min,31.417813606423117,64.02423898791594,0.010238672577646218,0.0086126803181369,0.10423870955192248,0.0523277663808741,1.3923730237093073,0.8641884640472791
45003,3min_FOV5_decon_bottom.tif,CAR_dual,CAR,Basal,3min,45.92808558642725,61.58022929303898,0.007603199712781011,0.0058806047180549,0.18531047881544455,0.0381196198959626,1.5980925141330056,0.7369030252057519
45170,3min_FOV5_decon_bottom.tif,CAR_dual,CAR,Cytosolic,3min,52.397020708585096,46.01838505262585,0.007603199712781011,0.0058806047180549,0.18531047881544455,0.0381196198959626,1.5980925141330056,0.7369030252057519
45269,3min_FOV5_decon_top.tif,CAR_dual,CAR,Basal,3min,20.676509341326,73.98256314828215,0.007113762700254815,0.0057416263565786,0.10086380172845753,0.0363383292466186,1.2365537215008797,0.7447212239544495
45494,3min_FOV6_decon_bottom_right.tif,CAR_dual,CAR,Basal,3min,72.15448489669845,53.41019760610725,0.012695326761584044,0.0085791521214761,0.39522006085659245,0.0510029816900416,2.3133031253686145,0.8440425827729283
45618,3min_FOV6_decon_bottom_right.tif,CAR_dual,CAR,Cytosolic,3min,80.32062896507067,40.61975249410868,0.012695326761584044,0.0085791521214761,0.39522006085659245,0.0510029816900416,2.3133031253686145,0.8440425827729283
45713,3min_FOV6_decon_top_right.tif,CAR_antiCD19,CAR,Basal,3min,40.3977616972923,59.84344752125242,0.011893224718101315,0.008483292664514,0.2563334673827888,0.0498695820969295,1.9703957588734617,0.8214334099844762
45819,3min_FOV6_decon_top_right.tif,CAR_antiCD19,CAR,Cytosolic,3min,62.10916430294647,47.47349404186208,0.011893224718101315,0.008483292664514,0.2563334673827888,0.0498695820969295,1.9703957588734617,0.8214334099844762
45915,3min_FOV7_decon_bottom.tif,CAR_antiCD22,CAR,Basal,3min,32.44026798068995,66.27753568144564,0.011970276822827225,0.0092555814078771,0.1910241542830119,0.0518774524938071,1.6684521932792815,0.8395966305725666
45995,3min_FOV7_decon_bottom.tif,CAR_antiCD22,CAR,Cytosolic,3min,49.86071652811039,56.7433996618546,0.011970276822827225,0.0092555814078771,0.1910241542830119,0.0518774524938071,1.6684521932792815,0.8395966305725666
46102,3min_FOV7_decon_top.tif,CAR_antiCD19,CAR,Basal,3min,147.77292342860963,58.09022292434615,0.010551454789420997,0.0087806154953998,0.12977863128881537,0.0466897072444264,1.3228293098162416,0.7675706265921937
46666,3min_FOV7_decon_top.tif,CAR_antiCD19,CAR,Cytosolic,3min,125.98179950858596,54.78391566637156,0.010551454789420997,0.0087806154953998,0.12977863128881537,0.0466897072444264,1.3228293098162416,0.7675706265921937
