,filename,cell_type,cell_type_dual,mesh_type,activation_time,cell_surface_area_um^2,mesh_density,equivalent_diameter_area_um^2_mean,equivalent_diameter_area_um^2_median,area_um^2_mean,area_um^2_median,perimeter_um_mean,perimeter_um_median
8010,3min_Thurs_FOV2_decon.tif,Untransduced,Untransduced,Basal,3min,94.9725252110738,60.36366314514611,0.005642327833983662,0.0048826897745805,0.09955840109494046,0.0240926693033877,0.8453919504656432,0.5316632273490591
8530,3min_Thurs_FOV2_decon.tif,Untransduced,Untransduced,Cytosolic,3min,101.94541001720266,49.78387320561396,0.005642327833983662,0.0048826897745805,0.09955840109494046,0.0240926693033877,0.8453919504656432,0.5316632273490591
8925,3min_Thurs_FOV3_decon.tif,Untransduced,Untransduced,Basal,3min,54.04285720191615,63.22162634375986,0.0042025679872846325,0.0036912549641209,0.05120340448219689,0.0244800893276331,0.8571636939500507,0.5710750096408639
9302,3min_Thurs_FOV3_decon.tif,Untransduced,Untransduced,Cytosolic,3min,50.960988813348045,66.9514569769337,0.0042025679872846325,0.0036912549641209,0.05120340448219689,0.0244800893276331,0.8571636939500507,0.5710750096408639
9670,3min_Thurs_FOV4_decon.tif,Untransduced,Untransduced,Basal,3min,14.734153572493378,62.77320977573537,0.004994129338386831,0.0035927353285942,0.19134310541746094,0.036233130545145154,1.8694187653604142,0.7709789076240048
9717,3min_Thurs_FOV4_decon.tif,Untransduced,Untransduced,Cytosolic,3min,28.76183104748489,49.424594102940745,0.004994129338386831,0.0035927353285942,0.19134310541746094,0.036233130545145154,1.8694187653604142,0.7709789076240048
9782,3min_UNT_FOV10_decon.tif,Untransduced,Untransduced,Basal,3min,70.5876807115997,64.34770523194761,0.008413616252077658,0.0071720517743135,0.10551744228925262,0.037061911547878,1.0562670863478016,0.681420095553877
10037,3min_UNT_FOV10_decon.tif,Untransduced,Untransduced,Cytosolic,3min,71.06512533683414,61.78789459152683,0.008413616252077658,0.0071720517743135,0.10551744228925262,0.037061911547878,1.0562670863478016,0.681420095553877
10803,3min_UNT_FOV2_decon.tif,Untransduced,Untransduced,Basal,3min,15.03296535755253,74.45435428902908,0.009404167532364834,0.0077791823745047,0.12006793469770806,0.0436022488798565,1.2251773275501352,0.7673790129569885
10854,3min_UNT_FOV2_decon.tif,Untransduced,Untransduced,Cytosolic,3min,32.93822886006561,60.30380249528411,0.009404167532364834,0.0077791823745047,0.12006793469770806,0.0436022488798565,1.2251773275501352,0.7673790129569885
10958,3min_UNT_FOV3_decon.tif,Untransduced,Untransduced,Basal,3min,60.16284525726676,66.69603847707162,0.008024346277398873,0.0067110914795584,0.10259052940586513,0.032028536778293,0.9932226977760407,0.6143213597201979
